id,type,dc\.identifier,inScheme,member,notation,prefLabel,topConceptOf,definition,note,hasTopConcept
https://data.bodemenondergrond.vlaanderen.be/id/collection/boortype/boortypes,http://www.w3.org/2004/02/skos/core#Collection,be.vlaanderen.bodemenondergrond.data.id.collection.boortype.boortypes,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/0|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/10|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/11|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/12|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/13|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/14|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/15|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/16|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/17|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/18|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/19|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/1|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/20|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/21|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/22|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/23|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/24|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/25|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/26|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/27|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/28|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/2|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/3|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/4|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/5|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/6|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/7|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/8|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/9,collectie_boortypes,Collectie van boortypes.,null,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/0,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boortype.0,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,0,onbekend,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/1,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boortype.1,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,1,droge boring,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/10,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boortype.10,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,10,luchthamer,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/11,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boortype.11,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,11,geen boring,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/12,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boortype.12,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,12,meerdere technieken,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/13,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boortype.13,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,13,avegaarboring,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,TODO,TODO,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/14,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boortype.14,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,14,ramkernboring,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/15,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boortype.15,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,15,slagboring,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/16,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boortype.16,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,16,spade,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/17,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boortype.17,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,17,trilboring,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/18,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boortype.18,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,18,edelmanboring,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/19,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boortype.19,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,19,omgek. spoelboring,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/2,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boortype.2,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,2,lepelboring,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/20,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boortype.20,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,20,handboring,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/21,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boortype.21,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,21,ramguts,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/22,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boortype.22,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,22,voorput,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/23,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boortype.23,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,23,steenboring,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/24,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boortype.24,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,24,graafmachine,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/25,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boortype.25,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,25,luchthevelboren of air-lift boren,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/26,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boortype.26,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,26,lansen,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/27,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boortype.27,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,27,roto-sonische boring,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/28,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boortype.28,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,28,diagrafieboring,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/3,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boortype.3,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,3,pulsboring,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/4,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boortype.4,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,4,spiraalboring,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/5,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boortype.5,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,5,gestoken boring,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/6,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boortype.6,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,6,spoelboring,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/7,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boortype.7,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,7,zuigboring,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/8,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boortype.8,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,8,kernboring,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,null,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/9,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.boortype.9,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,9,rollerbit,https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,null,null,null
https://data.omgeving.vlaanderen.be/id/conceptscheme/boortype,http://www.w3.org/2004/02/skos/core#ConceptScheme,be.vlaanderen.bodemenondergrond.data.id.conceptscheme.boortype,null,null,boortypes,boortypes,null,null,null,https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/0|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/10|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/11|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/12|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/13|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/14|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/15|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/16|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/17|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/18|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/19|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/1|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/20|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/21|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/22|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/23|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/24|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/25|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/26|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/27|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/28|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/2|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/3|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/4|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/5|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/6|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/7|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/8|https://data.bodemenondergrond.vlaanderen.be/id/concept/boortype/9
